model,score,method,dataset,n,coverage,mean_width,mean_interval_score
nisqa,precision_weighted_disagreement,fixed,nisqa_val_sim,1250,0.9008,2.9129514694213867,3.5259917259216307
nisqa,precision_weighted_disagreement,fixed,nisqa_train_live,1020,0.9931372549019608,2.9129514694213867,2.9261122451109043
nisqa,precision_weighted_disagreement,fixed,nisqa_val_live,200,0.995,2.9129514694213867,2.9220370650291443
nisqa,precision_weighted_disagreement,fixed,nisqa_test_for,240,0.9291666666666667,2.9129514694213867,3.447876423597336
nisqa,precision_weighted_disagreement,fixed,nisqa_test_livetalk,232,0.9353448275862069,2.9129514694213867,3.185264599734339
nisqa,precision_weighted_disagreement,fixed,nisqa_test_p501,240,0.9708333333333333,2.9129514694213867,3.043981909751892
nisqa,precision_weighted_disagreement,adaptive,nisqa_val_sim,1250,0.9,2.810388310241699,3.2991513946533204
nisqa,precision_weighted_disagreement,adaptive,nisqa_train_live,1020,0.9833333333333333,2.597253911635455,2.6504363499435724
nisqa,precision_weighted_disagreement,adaptive,nisqa_val_live,200,0.985,2.601601257324219,2.6342402720451354
nisqa,precision_weighted_disagreement,adaptive,nisqa_test_for,240,0.9416666666666667,2.799253543217977,3.0975737472375235
nisqa,precision_weighted_disagreement,adaptive,nisqa_test_livetalk,232,0.9224137931034483,2.699681623228665,3.119788354840772
nisqa,precision_weighted_disagreement,adaptive,nisqa_test_p501,240,0.9708333333333333,2.977753194173177,3.0368873794873554
utmos,mahalanobis,fixed,nisqa_val_sim,1250,0.9176,2.2644686698913574,2.7757657318115236
utmos,mahalanobis,fixed,nisqa_train_live,1020,0.8127450980392157,2.2644686698913574,3.336802218474594
utmos,mahalanobis,fixed,nisqa_val_live,200,0.78,2.2644686698913574,3.6024161338806153
utmos,mahalanobis,fixed,nisqa_test_for,240,0.9208333333333333,2.2644686698913574,2.639484296242396
utmos,mahalanobis,fixed,nisqa_test_livetalk,232,0.6637931034482759,2.2644686698913574,4.503284384464395
utmos,mahalanobis,fixed,nisqa_test_p501,240,0.9208333333333333,2.2644686698913574,2.562443067630132
utmos,mahalanobis,adaptive,nisqa_val_sim,1250,0.9208,2.284354012680054,2.784139601898193
utmos,mahalanobis,adaptive,nisqa_train_live,1020,0.8205882352941176,2.31274755562053,3.331175635842716
utmos,mahalanobis,adaptive,nisqa_val_live,200,0.79,2.3074172163009643,3.6014274740219117
utmos,mahalanobis,adaptive,nisqa_test_for,240,0.9333333333333333,2.316271011034648,2.6799927592277526
utmos,mahalanobis,adaptive,nisqa_test_livetalk,232,0.6767241379310345,2.3091679153771234,4.426581927414598
utmos,mahalanobis,adaptive,nisqa_test_p501,240,0.9125,2.32076766093572,2.6181697944800058
utmos,ensemble_loo_disagreement,fixed,nisqa_val_sim,1250,0.9176,2.2644686698913574,2.7757657318115236
utmos,ensemble_loo_disagreement,fixed,nisqa_train_live,1020,0.8127450980392157,2.2644686698913574,3.336802218474594
utmos,ensemble_loo_disagreement,fixed,nisqa_val_live,200,0.78,2.2644686698913574,3.6024161338806153
utmos,ensemble_loo_disagreement,fixed,nisqa_test_for,240,0.9208333333333333,2.2644686698913574,2.639484296242396
utmos,ensemble_loo_disagreement,fixed,nisqa_test_livetalk,232,0.6637931034482759,2.2644686698913574,4.503284384464395
utmos,ensemble_loo_disagreement,fixed,nisqa_test_p501,240,0.9208333333333333,2.2644686698913574,2.562443067630132
utmos,ensemble_loo_disagreement,adaptive,nisqa_val_sim,1250,0.9256,2.293059862136841,2.766849973678589
utmos,ensemble_loo_disagreement,adaptive,nisqa_train_live,1020,0.8480392156862745,2.3630115317363365,3.1522182539397594
utmos,ensemble_loo_disagreement,adaptive,nisqa_val_live,200,0.805,2.3697602939605713,3.3533924412727356
utmos,ensemble_loo_disagreement,adaptive,nisqa_test_for,240,0.9333333333333333,2.300772762298584,2.6342558026313783
utmos,ensemble_loo_disagreement,adaptive,nisqa_test_livetalk,232,0.6810344827586207,2.3361689571676583,4.277707153353198
utmos,ensemble_loo_disagreement,adaptive,nisqa_test_p501,240,0.925,2.3226258158683777,2.577945053577423
utmos,precision_weighted_disagreement,fixed,nisqa_val_sim,1250,0.9176,2.2644686698913574,2.7757657318115236
utmos,precision_weighted_disagreement,fixed,nisqa_train_live,1020,0.8127450980392157,2.2644686698913574,3.336802218474594
utmos,precision_weighted_disagreement,fixed,nisqa_val_live,200,0.78,2.2644686698913574,3.6024161338806153
utmos,precision_weighted_disagreement,fixed,nisqa_test_for,240,0.9208333333333333,2.2644686698913574,2.639484296242396
utmos,precision_weighted_disagreement,fixed,nisqa_test_livetalk,232,0.6637931034482759,2.2644686698913574,4.503284384464395
utmos,precision_weighted_disagreement,fixed,nisqa_test_p501,240,0.9208333333333333,2.2644686698913574,2.562443067630132
utmos,precision_weighted_disagreement,adaptive,nisqa_val_sim,1250,0.9256,2.2930013439178465,2.766791455459595
utmos,precision_weighted_disagreement,adaptive,nisqa_train_live,1020,0.8480392156862745,2.3630115317363365,3.1522182539397594
utmos,precision_weighted_disagreement,adaptive,nisqa_val_live,200,0.805,2.3697602939605713,3.3533924412727356
utmos,precision_weighted_disagreement,adaptive,nisqa_test_for,240,0.9333333333333333,2.300772762298584,2.6342558026313783
utmos,precision_weighted_disagreement,adaptive,nisqa_test_livetalk,232,0.6810344827586207,2.3361689571676583,4.277707153353198
utmos,precision_weighted_disagreement,adaptive,nisqa_test_p501,240,0.925,2.3226258158683777,2.577945053577423
