coverage,n_retained,rmse_abstain_high_score,rmse_random_abstention,model,dataset,score
1.0,232,0.7496366855295195,0.7496366855295195,dnsmos,nisqa_test_livetalk,knn
0.9,209,0.7570948089089968,0.7499527928488683,dnsmos,nisqa_test_livetalk,knn
0.8,186,0.75864829317586,0.7496108195441454,dnsmos,nisqa_test_livetalk,knn
0.7,162,0.7686382950831842,0.7471178504941092,dnsmos,nisqa_test_livetalk,knn
0.6,139,0.7947700505787996,0.7519105974261229,dnsmos,nisqa_test_livetalk,knn
0.5,116,0.7905037189254579,0.7441462516133004,dnsmos,nisqa_test_livetalk,knn
1.0,232,0.7496366855295195,0.7496366855295195,dnsmos,nisqa_test_livetalk,mos_extremity
0.9,209,0.7443331128319266,0.7499435156193961,dnsmos,nisqa_test_livetalk,mos_extremity
0.8,186,0.7727427910220549,0.7497351582320768,dnsmos,nisqa_test_livetalk,mos_extremity
0.7,162,0.7834471878460042,0.7498381940636445,dnsmos,nisqa_test_livetalk,mos_extremity
0.6,139,0.7873164154451018,0.7523799732261139,dnsmos,nisqa_test_livetalk,mos_extremity
0.5,116,0.7845445798254158,0.7461141228507351,dnsmos,nisqa_test_livetalk,mos_extremity
1.0,240,1.084359321076995,1.084359321076995,dnsmos,nisqa_test_p501,mahalanobis
0.9,216,1.113662143529698,1.0841247148018918,dnsmos,nisqa_test_p501,mahalanobis
0.8,192,1.1253954305551743,1.0867600057390305,dnsmos,nisqa_test_p501,mahalanobis
0.7,168,1.1356230192311894,1.0849573600380424,dnsmos,nisqa_test_p501,mahalanobis
0.6,144,1.110869487826247,1.0855629907449187,dnsmos,nisqa_test_p501,mahalanobis
0.5,120,1.1057583290466468,1.08383817720003,dnsmos,nisqa_test_p501,mahalanobis
1.0,240,1.084359321076995,1.084359321076995,dnsmos,nisqa_test_p501,l2
0.9,216,1.116137018218139,1.0834825971152477,dnsmos,nisqa_test_p501,l2
0.8,192,1.1449329525355687,1.0850296330723488,dnsmos,nisqa_test_p501,l2
0.7,168,1.163310164003465,1.087088015981558,dnsmos,nisqa_test_p501,l2
0.6,144,1.1961810807361781,1.084260332971186,dnsmos,nisqa_test_p501,l2
0.5,120,1.2287315752384906,1.0828858326359694,dnsmos,nisqa_test_p501,l2
1.0,240,1.084359321076995,1.084359321076995,dnsmos,nisqa_test_p501,knn
0.9,216,1.1028400763013497,1.0843915242724678,dnsmos,nisqa_test_p501,knn
0.8,192,1.1120526277721667,1.0822200344366977,dnsmos,nisqa_test_p501,knn
0.7,168,1.1191643274644767,1.0843821404533953,dnsmos,nisqa_test_p501,knn
0.6,144,1.1044618264040345,1.0842401625533795,dnsmos,nisqa_test_p501,knn
0.5,120,1.1200010609886144,1.0862084468523652,dnsmos,nisqa_test_p501,knn
1.0,240,1.084359321076995,1.084359321076995,dnsmos,nisqa_test_p501,mos_extremity
0.9,216,1.1084852252552637,1.0854019632436493,dnsmos,nisqa_test_p501,mos_extremity
0.8,192,1.1144544522325674,1.0838446066276408,dnsmos,nisqa_test_p501,mos_extremity
0.7,168,1.1367836169246401,1.0832086467085107,dnsmos,nisqa_test_p501,mos_extremity
0.6,144,1.156123086103151,1.0835306109625598,dnsmos,nisqa_test_p501,mos_extremity
0.5,120,1.1786823488268674,1.0832897288159713,dnsmos,nisqa_test_p501,mos_extremity
1.0,200,0.5726085640517637,0.5726085640517639,dnsmos,nisqa_val_live,mahalanobis
0.9,180,0.5874575611933074,0.5724649302320711,dnsmos,nisqa_val_live,mahalanobis
0.8,160,0.6034936428483221,0.5732595408072184,dnsmos,nisqa_val_live,mahalanobis
0.7,140,0.6057985284292282,0.5706516876821268,dnsmos,nisqa_val_live,mahalanobis
0.6,120,0.6042316902921536,0.5723925400385759,dnsmos,nisqa_val_live,mahalanobis
0.5,100,0.610852728799877,0.573094305079892,dnsmos,nisqa_val_live,mahalanobis
1.0,200,0.5726085640517637,0.5726085640517639,dnsmos,nisqa_val_live,l2
0.9,180,0.5854665917627114,0.5720045527172192,dnsmos,nisqa_val_live,l2
0.8,160,0.5906273089335047,0.5720235523451168,dnsmos,nisqa_val_live,l2
0.7,140,0.591722561370933,0.572345128723553,dnsmos,nisqa_val_live,l2
0.6,120,0.6108969889477677,0.5740719956625631,dnsmos,nisqa_val_live,l2
0.5,100,0.6325043019261448,0.5721836215856614,dnsmos,nisqa_val_live,l2
1.0,200,0.5726085640517637,0.5726085640517639,dnsmos,nisqa_val_live,knn
0.9,180,0.5939105818243544,0.5735350135913722,dnsmos,nisqa_val_live,knn
0.8,160,0.6007500303054921,0.5732487306078594,dnsmos,nisqa_val_live,knn
0.7,140,0.605992017121237,0.5725866309734056,dnsmos,nisqa_val_live,knn
0.6,120,0.6113899622019265,0.5722850018968567,dnsmos,nisqa_val_live,knn
0.5,100,0.6131676609568536,0.5713884877921752,dnsmos,nisqa_val_live,knn
1.0,200,0.5726085640517637,0.5726085640517639,dnsmos,nisqa_val_live,mos_extremity
0.9,180,0.5873342251065268,0.5725598101367599,dnsmos,nisqa_val_live,mos_extremity
0.8,160,0.5895795341751875,0.572808433227986,dnsmos,nisqa_val_live,mos_extremity
0.7,140,0.5928126142007245,0.5731447016521005,dnsmos,nisqa_val_live,mos_extremity
0.6,120,0.5847253796174336,0.5728712840690318,dnsmos,nisqa_val_live,mos_extremity
0.5,100,0.5869937343898831,0.5731989268634705,dnsmos,nisqa_val_live,mos_extremity
1.0,240,0.6039910494581653,0.6039910494581653,utmos,nisqa_test_for,mahalanobis
0.9,216,0.5965796846335525,0.6037720382164986,utmos,nisqa_test_for,mahalanobis
0.8,192,0.5905427720053105,0.604657187889065,utmos,nisqa_test_for,mahalanobis
0.7,168,0.5966869373977353,0.6046031511058967,utmos,nisqa_test_for,mahalanobis
0.6,144,0.5977912305879014,0.6048769064202258,utmos,nisqa_test_for,mahalanobis
0.5,120,0.5753177459679761,0.6018761338455776,utmos,nisqa_test_for,mahalanobis
1.0,240,0.6039910494581653,0.6039910494581653,utmos,nisqa_test_for,l2
0.9,216,0.5954559649694389,0.6047955829784462,utmos,nisqa_test_for,l2
0.8,192,0.5953487757200208,0.6043616342316611,utmos,nisqa_test_for,l2
0.7,168,0.6076808518533825,0.6035631779900058,utmos,nisqa_test_for,l2
0.6,144,0.6352737249112633,0.6047952786980075,utmos,nisqa_test_for,l2
0.5,120,0.6454798047087948,0.6030755660869411,utmos,nisqa_test_for,l2
1.0,240,0.6039910494581653,0.6039910494581653,utmos,nisqa_test_for,knn
0.9,216,0.5888220956977197,0.603481339119551,utmos,nisqa_test_for,knn
0.8,192,0.5807979070394801,0.6031018837561432,utmos,nisqa_test_for,knn
0.7,168,0.5813959893859407,0.6040812198756383,utmos,nisqa_test_for,knn
