metric,model,dataset,point_estimate,ci_lo,ci_hi,n_boot,n_groups
knn_fpr95,dnsmos,nisqa_test_p501,0.9428,0.9164,0.974,2000,60
knn_srcc_ood,dnsmos,nisqa_test_p501,-0.053621590652615486,-0.21758723111516445,0.12588117276910474,2000,60
mahalanobis_auroc,dnsmos,nisqa_val_live,0.727586,0.6972246499999999,0.7608495499999999,2000,200
mahalanobis_fpr95,dnsmos,nisqa_val_live,0.7084,0.57679,0.8136099999999999,2000,200
mahalanobis_srcc_ood,dnsmos,nisqa_val_live,-0.17699692492312308,-0.3020808395119729,-0.04104316753993236,2000,200
l2_auroc,dnsmos,nisqa_val_live,0.6402960000000001,0.6017614,0.6796122499999999,2000,200
l2_fpr95,dnsmos,nisqa_val_live,0.862,0.77359,0.9376099999999999,2000,200
l2_srcc_ood,dnsmos,nisqa_val_live,-0.19473636840921027,-0.32826815784843916,-0.054100860976717145,2000,200
knn_auroc,dnsmos,nisqa_val_live,0.7845139999999999,0.7553862,0.81508675,2000,200
knn_fpr95,dnsmos,nisqa_val_live,0.686,0.54838,0.7716,2000,200
knn_srcc_ood,dnsmos,nisqa_val_live,-0.2224135603390085,-0.35292281053624436,-0.08657338432023659,2000,200
srcc,utmos,nisqa_train_sim,0.8348601184259047,0.8287650968400456,0.8409079873717085,2000,10000
rmse,utmos,nisqa_train_sim,0.6606415988319494,0.6510511919348788,0.6705684909195063,2000,10000
pcc,utmos,nisqa_train_sim,0.8343693817011804,0.8286409603558325,0.8402538231837514,2000,10000
coverage_fixed,utmos,nisqa_train_sim,0.9569,0.9527,0.9607,2000,10000
coverage_adaptive,utmos,nisqa_train_sim,0.9444,0.9397975,0.9488,2000,10000
coverage_delta,utmos,nisqa_train_sim,-0.012499999999999956,-0.014900000000000024,-0.010000000000000009,2000,10000
srcc,utmos,nisqa_train_live,0.701954926333747,0.6694029939255083,0.7324663520562896,2000,1020
rmse,utmos,nisqa_train_live,0.8291742736794093,0.7988043380402233,0.8586565534291533,2000,1020
pcc,utmos,nisqa_train_live,0.6365106977872432,0.6045968744517619,0.667455456026539,2000,1020
coverage_fixed,utmos,nisqa_train_live,0.9009803921568628,0.8833333333333333,0.9186274509803921,2000,1020
