model,weighting,score,direction,coverage,n_retained,rmse
nisqa,domain_balanced,knn,retain_low_score,0.6,1909,0.7322091700244144
nisqa,domain_balanced,knn,retain_low_score,0.5,1591,0.7599982576306769
nisqa,domain_balanced,knn,retain_high_score_diagnostic,1.0,3182,0.6852546265081241
nisqa,domain_balanced,knn,retain_high_score_diagnostic,0.95,3023,0.6888957458638088
nisqa,domain_balanced,knn,retain_high_score_diagnostic,0.9,2864,0.6850549501748895
nisqa,domain_balanced,knn,retain_high_score_diagnostic,0.8,2546,0.6696999476289365
nisqa,domain_balanced,knn,retain_high_score_diagnostic,0.7,2227,0.6447227917122358
nisqa,domain_balanced,knn,retain_high_score_diagnostic,0.6,1909,0.6354021883006166
nisqa,domain_balanced,knn,retain_high_score_diagnostic,0.5,1591,0.6228639454048661
nisqa,domain_balanced,mos_extremity,retain_low_score,1.0,3182,0.6852546265081241
nisqa,domain_balanced,mos_extremity,retain_low_score,0.95,3023,0.6940347323942635
nisqa,domain_balanced,mos_extremity,retain_low_score,0.9,2864,0.7022241067948366
nisqa,domain_balanced,mos_extremity,retain_low_score,0.8,2546,0.7216183312269292
nisqa,domain_balanced,mos_extremity,retain_low_score,0.7,2227,0.7207464553450939
nisqa,domain_balanced,mos_extremity,retain_low_score,0.6,1909,0.7253538667649271
nisqa,domain_balanced,mos_extremity,retain_low_score,0.5,1591,0.7314163190206872
nisqa,domain_balanced,mos_extremity,retain_high_score_diagnostic,1.0,3182,0.6852546265081241
nisqa,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.95,3023,0.6774775843023179
nisqa,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.9,2864,0.6714860485438857
nisqa,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.8,2546,0.6620145720655035
nisqa,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.7,2227,0.655730562870265
nisqa,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.6,1909,0.6471755883439068
nisqa,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.5,1591,0.6378126871106131
utmos,natural,mahalanobis,retain_low_score,1.0,3182,0.7564087184830051
utmos,natural,mahalanobis,retain_low_score,0.95,3023,0.7636125090585765
utmos,natural,mahalanobis,retain_low_score,0.9,2864,0.7697475282848055
utmos,natural,mahalanobis,retain_low_score,0.8,2546,0.772572432289552
utmos,natural,mahalanobis,retain_low_score,0.7,2227,0.7653708186653295
utmos,natural,mahalanobis,retain_low_score,0.6,1909,0.7471143309279532
utmos,natural,mahalanobis,retain_low_score,0.5,1591,0.7337602946118779
utmos,natural,mahalanobis,retain_high_score_diagnostic,1.0,3182,0.7564087184830051
utmos,natural,mahalanobis,retain_high_score_diagnostic,0.95,3023,0.7634492589182323
utmos,natural,mahalanobis,retain_high_score_diagnostic,0.9,2864,0.7669443895368866
utmos,natural,mahalanobis,retain_high_score_diagnostic,0.8,2546,0.7726434394696748
utmos,natural,mahalanobis,retain_high_score_diagnostic,0.7,2227,0.7753704386834325
utmos,natural,mahalanobis,retain_high_score_diagnostic,0.6,1909,0.7753272787070264
utmos,natural,mahalanobis,retain_high_score_diagnostic,0.5,1591,0.7783984383625742
utmos,natural,l2,retain_low_score,1.0,3182,0.7564087184830051
utmos,natural,l2,retain_low_score,0.95,3023,0.7692471054966206
utmos,natural,l2,retain_low_score,0.9,2864,0.7799635393927198
utmos,natural,l2,retain_low_score,0.8,2546,0.797484888696259
utmos,natural,l2,retain_low_score,0.7,2227,0.7978783616995082
utmos,natural,l2,retain_low_score,0.6,1909,0.7774738612732399
utmos,natural,l2,retain_low_score,0.5,1591,0.7611114546337464
utmos,natural,l2,retain_high_score_diagnostic,1.0,3182,0.7564087184830051
utmos,natural,l2,retain_high_score_diagnostic,0.95,3023,0.7570953918417272
utmos,natural,l2,retain_high_score_diagnostic,0.9,2864,0.7566499480280848
utmos,natural,l2,retain_high_score_diagnostic,0.8,2546,0.7543201482417956
utmos,natural,l2,retain_high_score_diagnostic,0.7,2227,0.7566015328481567
utmos,natural,l2,retain_high_score_diagnostic,0.6,1909,0.7539456148796823
utmos,natural,l2,retain_high_score_diagnostic,0.5,1591,0.75167656104172
utmos,natural,knn,retain_low_score,1.0,3182,0.7564087184830051
utmos,natural,knn,retain_low_score,0.95,3023,0.7619923273381976
utmos,natural,knn,retain_low_score,0.9,2864,0.7623627596478062
utmos,natural,knn,retain_low_score,0.8,2546,0.7587223254385931
utmos,natural,knn,retain_low_score,0.7,2227,0.7425119093609076
utmos,natural,knn,retain_low_score,0.6,1909,0.7311200381767378
utmos,natural,knn,retain_low_score,0.5,1591,0.7204662434989552
utmos,natural,knn,retain_high_score_diagnostic,1.0,3182,0.7564087184830051
utmos,natural,knn,retain_high_score_diagnostic,0.95,3023,0.7630358260286677
utmos,natural,knn,retain_high_score_diagnostic,0.9,2864,0.767228894957031
utmos,natural,knn,retain_high_score_diagnostic,0.8,2546,0.7726142085688273
utmos,natural,knn,retain_high_score_diagnostic,0.7,2227,0.7847114122822351
utmos,natural,knn,retain_high_score_diagnostic,0.6,1909,0.7890152509159764
utmos,natural,knn,retain_high_score_diagnostic,0.5,1591,0.7907190972606569
utmos,natural,mos_extremity,retain_low_score,1.0,3182,0.7564087184830051
utmos,natural,mos_extremity,retain_low_score,0.95,3023,0.7686375755966602
utmos,natural,mos_extremity,retain_low_score,0.9,2864,0.77781600951061
utmos,natural,mos_extremity,retain_low_score,0.8,2546,0.7810037097488823
utmos,natural,mos_extremity,retain_low_score,0.7,2227,0.7618642651967958
utmos,natural,mos_extremity,retain_low_score,0.6,1909,0.7374894909233258
utmos,natural,mos_extremity,retain_low_score,0.5,1591,0.7348565906291902
utmos,natural,mos_extremity,retain_high_score_diagnostic,1.0,3182,0.7564087184830051
utmos,natural,mos_extremity,retain_high_score_diagnostic,0.95,3023,0.7581325285287472
utmos,natural,mos_extremity,retain_high_score_diagnostic,0.9,2864,0.7600949738375055
utmos,natural,mos_extremity,retain_high_score_diagnostic,0.8,2546,0.7599794203045992
utmos,natural,mos_extremity,retain_high_score_diagnostic,0.7,2227,0.7617389450777748
utmos,natural,mos_extremity,retain_high_score_diagnostic,0.6,1909,0.7681456126056347
utmos,natural,mos_extremity,retain_high_score_diagnostic,0.5,1591,0.7773635507296741
utmos,domain_balanced,mahalanobis,retain_low_score,1.0,3182,0.7815365263079118
utmos,domain_balanced,mahalanobis,retain_low_score,0.95,3023,0.7880042294726399
utmos,domain_balanced,mahalanobis,retain_low_score,0.9,2864,0.7929812316716001
utmos,domain_balanced,mahalanobis,retain_low_score,0.8,2546,0.7948435405335469
utmos,domain_balanced,mahalanobis,retain_low_score,0.7,2227,0.7864764576263994
utmos,domain_balanced,mahalanobis,retain_low_score,0.6,1909,0.7571695825969513
utmos,domain_balanced,mahalanobis,retain_low_score,0.5,1591,0.7349463620444663
utmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,1.0,3182,0.7815365263079118
utmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.95,3023,0.7874982789394473
utmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.9,2864,0.7894153700153738
utmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.8,2546,0.7966176409588993
utmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.7,2227,0.8026205495700092
utmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.6,1909,0.810330388603367
utmos,domain_balanced,mahalanobis,retain_high_score_diagnostic,0.5,1591,0.8269295499258631
utmos,domain_balanced,l2,retain_low_score,1.0,3182,0.7815365263079118
utmos,domain_balanced,l2,retain_low_score,0.95,3023,0.7928576723489831
utmos,domain_balanced,l2,retain_low_score,0.9,2864,0.8028090274928086
utmos,domain_balanced,l2,retain_low_score,0.8,2546,0.8232327006669211
utmos,domain_balanced,l2,retain_low_score,0.7,2227,0.8258927619180902
utmos,domain_balanced,l2,retain_low_score,0.6,1909,0.8093508180675024
utmos,domain_balanced,l2,retain_low_score,0.5,1591,0.8022487029207416
utmos,domain_balanced,l2,retain_high_score_diagnostic,1.0,3182,0.7815365263079118
utmos,domain_balanced,l2,retain_high_score_diagnostic,0.95,3023,0.7833738112130793
utmos,domain_balanced,l2,retain_high_score_diagnostic,0.9,2864,0.7793822317850523
utmos,domain_balanced,l2,retain_high_score_diagnostic,0.8,2546,0.7710555404706364
utmos,domain_balanced,l2,retain_high_score_diagnostic,0.7,2227,0.7704338955256654
utmos,domain_balanced,l2,retain_high_score_diagnostic,0.6,1909,0.7666640605321906
utmos,domain_balanced,l2,retain_high_score_diagnostic,0.5,1591,0.7582004085303546
utmos,domain_balanced,knn,retain_low_score,1.0,3182,0.7815365263079118
utmos,domain_balanced,knn,retain_low_score,0.95,3023,0.787942613169776
utmos,domain_balanced,knn,retain_low_score,0.9,2864,0.789784416725074
utmos,domain_balanced,knn,retain_low_score,0.8,2546,0.7830735459628774
utmos,domain_balanced,knn,retain_low_score,0.7,2227,0.7611307986619452
utmos,domain_balanced,knn,retain_low_score,0.6,1909,0.7488026222069432
utmos,domain_balanced,knn,retain_low_score,0.5,1591,0.7286759777535547
utmos,domain_balanced,knn,retain_high_score_diagnostic,1.0,3182,0.7815365263079118
utmos,domain_balanced,knn,retain_high_score_diagnostic,0.95,3023,0.7842334359274953
utmos,domain_balanced,knn,retain_high_score_diagnostic,0.9,2864,0.7899577122091426
utmos,domain_balanced,knn,retain_high_score_diagnostic,0.8,2546,0.7977878025643285
utmos,domain_balanced,knn,retain_high_score_diagnostic,0.7,2227,0.8117008028611528
utmos,domain_balanced,knn,retain_high_score_diagnostic,0.6,1909,0.825269535031033
utmos,domain_balanced,knn,retain_high_score_diagnostic,0.5,1591,0.8319200033310531
utmos,domain_balanced,mos_extremity,retain_low_score,1.0,3182,0.7815365263079118
utmos,domain_balanced,mos_extremity,retain_low_score,0.95,3023,0.7927540434330365
utmos,domain_balanced,mos_extremity,retain_low_score,0.9,2864,0.8038127834239278
utmos,domain_balanced,mos_extremity,retain_low_score,0.8,2546,0.8122241178132572
utmos,domain_balanced,mos_extremity,retain_low_score,0.7,2227,0.7968804211455303
utmos,domain_balanced,mos_extremity,retain_low_score,0.6,1909,0.7769028104928882
utmos,domain_balanced,mos_extremity,retain_low_score,0.5,1591,0.7798857918658676
utmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,1.0,3182,0.7815365263079118
utmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.95,3023,0.783144680594262
utmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.9,2864,0.7832403527740114
utmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.8,2546,0.7780409086378102
utmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.7,2227,0.7746283133448464
utmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.6,1909,0.7780749184999457
utmos,domain_balanced,mos_extremity,retain_high_score_diagnostic,0.5,1591,0.7831127362686617
