model,dataset,seed,method,coverage,mean_width,mean_interval_score,delta_coverage,delta_width,delta_interval_score
utmos,nisqa_test_livetalk,20270841,local_residual_mondrian_k10,0.6120689655172413,2.098883193114708,4.8189062784458025,-0.02586206896551735,-0.05915780725150288,0.04798967057260928
utmos,nisqa_test_livetalk,20270841,local_residual_normalized_k10,0.6508620689655172,2.080225284395761,5.169676241488506,0.012931034482758563,-0.07781571597044978,0.3987596336153123
utmos,nisqa_test_livetalk,20270841,local_residual_mondrian_k25,0.6293103448275862,2.147742424545617,4.679230736247424,-0.008620689655172487,-0.010298575820594014,-0.09168587162576891
utmos,nisqa_test_livetalk,20270841,local_residual_normalized_k25,0.6336206896551724,2.08711398060147,4.7702048981656064,-0.004310344827586299,-0.07092701976474114,-0.0007117097075868273
utmos,nisqa_test_livetalk,20270841,local_residual_mondrian_k50,0.6939655172413793,2.2451917899066003,4.290342661841162,0.05603448275862066,0.08715078954038935,-0.4805739460320311
utmos,nisqa_test_livetalk,20270841,local_residual_normalized_k50,0.6681034482758621,2.189713207735381,4.372320715600389,0.030172413793103425,0.0316722073691702,-0.39859589227280434
utmos,nisqa_test_p501,20270841,mahalanobis_mondrian,0.9125,2.2276301622390746,2.556460702419281,0.016666666666666607,0.06958916187286368,-0.0007543325424195224
utmos,nisqa_test_p501,20270841,predicted_mos_mondrian,0.9166666666666666,2.2174956440925597,2.565440797805786,0.02083333333333326,0.05945464372634879,0.008225762844085605
utmos,nisqa_test_p501,20270841,mos_extremity_mondrian,0.9083333333333333,2.1047489593426385,2.441171740492185,0.012499999999999956,-0.053292041023572434,-0.11604329446951533
utmos,nisqa_test_p501,20270841,local_residual_mondrian_k10,0.8791666666666667,2.104545545578003,2.5854001462459566,-0.01666666666666672,-0.05349545478820783,0.02818511128425616
utmos,nisqa_test_p501,20270841,local_residual_normalized_k10,0.8583333333333333,2.1008887626688617,2.7435294009104814,-0.03750000000000009,-0.05715223769734923,0.18631436594878092
utmos,nisqa_test_p501,20270841,local_residual_mondrian_k25,0.9208333333333333,2.1229759673277537,2.571757040421168,0.02499999999999991,-0.035065033038457205,0.0145420054594676
utmos,nisqa_test_p501,20270841,local_residual_normalized_k25,0.9,2.060773394921132,2.636754889403212,0.004166666666666652,-0.09726760544507895,0.07953985444151135
utmos,nisqa_test_p501,20270841,local_residual_mondrian_k50,0.9166666666666666,2.1674337069193523,2.5701740165551503,0.02083333333333326,0.009392706553141394,0.012958981593449881
utmos,nisqa_test_p501,20270841,local_residual_normalized_k50,0.9166666666666666,2.130183494315345,2.5432426158175607,0.02083333333333326,-0.02785750605086612,-0.013972419144139714
utmos,nisqa_val_sim,20270842,mahalanobis_mondrian,0.9144,2.360543419456482,2.9016322942733765,0.006399999999999961,0.0742849603652953,0.017905676460266307
utmos,nisqa_val_sim,20270842,predicted_mos_mondrian,0.9176,2.398120135498047,2.8440386096954344,0.009599999999999942,0.11186167640686051,-0.03968800811767581
utmos,nisqa_val_sim,20270842,mos_extremity_mondrian,0.9208,2.370603609085083,2.921215169906616,0.012799999999999923,0.0843451499938963,0.03748855209350577
utmos,nisqa_val_sim,20270842,local_residual_mondrian_k10,0.92,2.318512830543518,2.8206200330734252,0.01200000000000001,0.032254371452331565,-0.063106584739685
utmos,nisqa_val_sim,20270842,local_residual_normalized_k10,0.9192,2.350052996587557,2.8554990969983174,0.011199999999999988,0.06379453749637065,-0.02822752081479285
utmos,nisqa_val_sim,20270842,local_residual_mondrian_k25,0.9112,2.3268073738098143,2.8400710456848146,0.0031999999999999806,0.04054891471862776,-0.04365557212829563
utmos,nisqa_val_sim,20270842,local_residual_normalized_k25,0.9136,2.2800776496401407,2.7875476017514274,0.005599999999999938,-0.006180809451045821,-0.09617901606168289
utmos,nisqa_val_sim,20270842,local_residual_mondrian_k50,0.92,2.319889179611206,2.8158579944610596,0.01200000000000001,0.0336307205200197,-0.06786862335205068
utmos,nisqa_val_sim,20270842,local_residual_normalized_k50,0.9168,2.2831773411196643,2.8017228486435974,0.008799999999999919,-0.003081117971522218,-0.0820037691695128
utmos,nisqa_train_live,20270842,mahalanobis_mondrian,0.8362745098039216,2.3952230189360826,3.2982579256974014,0.01764705882352946,0.10896455984489606,-0.02013769593893322
utmos,nisqa_train_live,20270842,predicted_mos_mondrian,0.8990196078431373,2.665412314966613,3.136272592871797,0.08039215686274515,0.3791538558754266,-0.18212302876453768
utmos,nisqa_train_live,20270842,mos_extremity_mondrian,0.8676470588235294,2.542500436072256,3.1545761435639625,0.0490196078431373,0.25624197698106954,-0.16381947807237207
utmos,nisqa_train_live,20270842,local_residual_mondrian_k10,0.8196078431372549,2.239037737191892,3.3134227327272003,0.0009803921568627416,-0.04722072189929438,-0.0049728889091342765
utmos,nisqa_train_live,20270842,local_residual_normalized_k10,0.7931372549019607,2.1270892209885726,3.455329576164709,-0.025490196078431393,-0.15916923810261396,0.13693395452837454
utmos,nisqa_train_live,20270842,local_residual_mondrian_k25,0.8196078431372549,2.2302357456263375,3.3221824269668727,0.0009803921568627416,-0.056022713464848994,0.003786805330538101
utmos,nisqa_train_live,20270842,local_residual_normalized_k25,0.7872549019607843,2.154671478032724,3.4051321895528646,-0.03137254901960784,-0.13158698105846245,0.08673656791652995
utmos,nisqa_train_live,20270842,local_residual_mondrian_k50,0.8117647058823529,2.210683885742636,3.3152492677464203,-0.006862745098039191,-0.07557457334855044,-0.003146353889914355
utmos,nisqa_train_live,20270842,local_residual_normalized_k50,0.7990196078431373,2.1550179590742755,3.40220891074811,-0.019607843137254832,-0.131240500016911,0.08381328911177555
utmos,nisqa_val_live,20270842,mahalanobis_mondrian,0.8,2.385029460191727,3.5259791624546053,0.010000000000000009,0.09877100110054027,-0.05168726325035067
utmos,nisqa_val_live,20270842,predicted_mos_mondrian,0.89,2.659595890045166,3.29832168340683,0.09999999999999998,0.3733374309539794,-0.2793447422981261
utmos,nisqa_val_live,20270842,mos_extremity_mondrian,0.855,2.536380317211151,3.3369839930534364,0.06499999999999995,0.25012185811996446,-0.24068243265151956
utmos,nisqa_val_live,20270842,local_residual_mondrian_k10,0.79,2.2170697486400606,3.5764062917232513,0.0,-0.06918871045112596,-0.0012601339817046586
