model,task,weighting,score,auroc,ci_lo,ci_hi,n_boot
utmos,abs_error_gt_0.75,domain_balanced,l2,0.4248241734677339,0.39312230489815836,0.45553200240651437,2000
utmos,abs_error_gt_0.75,domain_balanced,knn,0.5336377415880293,0.5032251994272104,0.5629027491627957,2000
utmos,standardized_error_top_quartile,natural,mahalanobis,0.5518129204277886,0.528627992284012,0.5759476804253447,2000
utmos,standardized_error_top_quartile,natural,l2,0.5059607551588622,0.4799554065427113,0.5294744626049811,2000
utmos,standardized_error_top_quartile,natural,knn,0.5551394861988063,0.5288899278443142,0.5777046660197681,2000
utmos,standardized_error_top_quartile,domain_balanced,mahalanobis,0.5323773393574597,0.5008917161398402,0.565178604035869,2000
utmos,standardized_error_top_quartile,domain_balanced,l2,0.4568583581827556,0.4200799234474296,0.49168920925585385,2000
utmos,standardized_error_top_quartile,domain_balanced,knn,0.5437224776995505,0.5115218437548082,0.5746882667936198,2000
utmos,outside_subjective_95ci,natural,mahalanobis,0.5215926127446611,0.5000607387734599,0.5410455102142787,2000
utmos,outside_subjective_95ci,natural,l2,0.481365887184956,0.45962038010624645,0.5036622201571977,2000
utmos,outside_subjective_95ci,natural,knn,0.5298917394729232,0.5096006327506082,0.5502291214777059,2000
utmos,outside_subjective_95ci,domain_balanced,mahalanobis,0.49833252902685077,0.47017295917655555,0.5262659471047496,2000
utmos,outside_subjective_95ci,domain_balanced,l2,0.4402723057460958,0.4087622282176025,0.4724443449763181,2000
utmos,outside_subjective_95ci,domain_balanced,knn,0.5068880358129152,0.4795391158293329,0.5346088286401904,2000
