model,method,aggregation,n_seeds,mean_delta_coverage,mean_delta_width,mean_delta_interval_score,std_delta_interval_score,min_delta_interval_score,max_delta_interval_score,fraction_improved,dataset
dnsmos,mahalanobis_mondrian,per_dataset,20,-0.010991379310344846,-0.10559096675494617,-0.036174749505930914,0.023085758594134732,-0.05640204816029026,0.04542914752302529,0.95,nisqa_test_livetalk
dnsmos,predicted_mos_mondrian,per_dataset,20,-0.007974137931034497,-0.07453340250870275,-0.04762478131672436,0.02247241821137093,-0.08355949767704685,0.0003414236266037207,0.95,nisqa_test_livetalk
dnsmos,mos_extremity_mondrian,per_dataset,20,-0.004525862068965547,-0.03887217229810258,-0.03996729100572653,0.01621255308279965,-0.06820825564450228,0.001456353171118252,0.95,nisqa_test_livetalk
dnsmos,local_residual_mondrian_k10,per_dataset,20,-0.0017241379310345083,0.014522668924824966,0.007952243397975756,0.02496697999487548,-0.04311512770323933,0.061462836018923994,0.35,nisqa_test_livetalk
dnsmos,local_residual_normalized_k10,per_dataset,20,-0.029094827586206917,0.09350021343035478,0.19666074039355544,0.11377096026320112,0.012429742416481204,0.4280209271737778,0.0,nisqa_test_livetalk
dnsmos,local_residual_mondrian_k25,per_dataset,20,-0.004094827586206912,0.004771704869023697,0.018918085252416516,0.026175324286796833,-0.021243107729945088,0.08155584438093744,0.2,nisqa_test_livetalk
dnsmos,local_residual_normalized_k25,per_dataset,20,-0.02478448275862072,-0.024674121033710982,0.06737556225205683,0.07660980946699252,-0.07259865971802038,0.1758969592604802,0.2,nisqa_test_livetalk
dnsmos,local_residual_mondrian_k50,per_dataset,20,-0.0036637931034482927,0.006977520780316726,0.014472388655974954,0.035823701646611125,-0.04750785231590271,0.07657914326108717,0.3,nisqa_test_livetalk
dnsmos,local_residual_normalized_k50,per_dataset,20,-0.016594827586206923,-0.060948296798464786,-0.009945305584495157,0.04817729667267188,-0.08262243835141803,0.08395355637454927,0.65,nisqa_test_livetalk
dnsmos,mahalanobis_mondrian,per_dataset,20,0.008958333333333351,0.0039466008047263305,0.017252674649159094,0.024141630478475087,-0.02561649481455497,0.0829642117023468,0.2,nisqa_test_p501
dnsmos,predicted_mos_mondrian,per_dataset,20,0.0006250000000000089,0.03722547714908917,0.028760736435651735,0.07711687657874762,-0.03925459583600377,0.20145774483680734,0.55,nisqa_test_p501
