model,method,aggregation,n_seeds,mean_delta_coverage,mean_delta_width,mean_delta_interval_score,std_delta_interval_score,min_delta_interval_score,max_delta_interval_score,fraction_improved,dataset
nisqa,local_residual_normalized_k50,per_dataset,20,-0.0053879310344827295,-0.1465206945530145,0.07927968816678829,0.07690564282059792,-0.06387901115411054,0.2184615948897788,0.15,nisqa_test_livetalk
nisqa,mahalanobis_mondrian,per_dataset,20,-0.04791666666666667,-0.32399190564950303,-0.14499611506859472,0.06608585832901033,-0.24130283395449315,0.03391504387060795,0.95,nisqa_test_p501
nisqa,predicted_mos_mondrian,per_dataset,20,-0.017916666666666654,-0.05012928500771523,-0.0414978842437268,0.0523533272080295,-0.14672693510850277,0.06680667102336857,0.8,nisqa_test_p501
nisqa,mos_extremity_mondrian,per_dataset,20,-0.01458333333333331,-0.06157505745689076,-0.02280453229943915,0.0433449899815131,-0.12174263099829341,0.04804529448350259,0.7,nisqa_test_p501
nisqa,local_residual_mondrian_k10,per_dataset,20,-0.002291666666666664,-0.23251554424564042,-0.2759014303982258,0.0809395484504458,-0.3931574980417887,-0.0831811636686326,1.0,nisqa_test_p501
nisqa,local_residual_normalized_k10,per_dataset,20,-0.00958333333333331,-0.18511652110694782,-0.17077810443295457,0.1064411432499498,-0.36712106181317683,0.053711505245606084,0.9,nisqa_test_p501
nisqa,local_residual_mondrian_k25,per_dataset,20,-0.005416666666666664,-0.24247536266843478,-0.2790947129825751,0.06092017959146047,-0.3737691352764765,-0.12365333338578566,1.0,nisqa_test_p501
nisqa,local_residual_normalized_k25,per_dataset,20,-0.006458333333333327,-0.2559050990486461,-0.26780718996907454,0.09222462089969106,-0.3886021269163562,-0.030366657196936764,1.0,nisqa_test_p501
nisqa,local_residual_mondrian_k50,per_dataset,20,-0.0031249999999999945,-0.23345527023077012,-0.2668385537465414,0.06645955176823404,-0.4019814620415372,-0.18285145163536098,1.0,nisqa_test_p501
nisqa,local_residual_normalized_k50,per_dataset,20,-0.0008333333333333304,-0.26470251635886555,-0.30270325833185086,0.06758785481823754,-0.4491735412678115,-0.1937150557658165,1.0,nisqa_test_p501
utmos,mahalanobis_mondrian,per_dataset,20,0.006079999999999991,0.061254176445007344,0.01978984748840338,0.023123476817292078,-0.009505639076233141,0.0750016769409183,0.15,nisqa_val_sim
utmos,predicted_mos_mondrian,per_dataset,20,0.0038800000000000223,0.05253748893737795,-0.04951476812362665,0.025144487673187724,-0.07868972854614231,0.011650683021545483,0.95,nisqa_val_sim
utmos,mos_extremity_mondrian,per_dataset,20,0.005280000000000002,0.04167705610275265,0.010597712783813518,0.02835911521946108,-0.046477986335754284,0.08981387996673584,0.3,nisqa_val_sim
utmos,local_residual_mondrian_k10,per_dataset,20,0.0034799999999999996,0.005719762201309209,-0.06074946825981133,0.029490119917833818,-0.10435065879821748,-0.012161451339721463,1.0,nisqa_val_sim
