model,dataset,method,metric,fixed,method_value,method_minus_fixed,ci_lo,ci_hi,n_boot,conditioning
dnsmos,nisqa_test_livetalk,local_residual_normalized_k25,coverage,0.9439655172413793,0.9181034482758621,-0.025862068965517238,-0.06465517241379315,0.0,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_normalized_k25,mean_width,2.760171413421631,2.6293533749300813,-0.1308180384915496,-0.24181401502452093,-0.024428087231029686,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_normalized_k25,mean_interval_score,3.033029247974527,3.0739161112338853,0.0408868632593582,-0.08823730572717613,0.18597189649021093,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_normalized_k50,coverage,0.9439655172413793,0.9396551724137931,-0.004310344827586188,-0.030172413793103425,0.012931034482758567,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_normalized_k50,mean_width,2.760171413421631,2.6971744525392296,-0.06299696088240125,-0.16190607063102624,0.017475799146436863,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_livetalk,local_residual_normalized_k50,mean_interval_score,3.033029247974527,3.015580674628195,-0.017448573346332097,-0.10112145900496156,0.07267118429870237,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,mahalanobis_mondrian,coverage,0.8708333333333333,0.8708333333333333,0.0,-0.029166666666666674,0.04166666666666674,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,mahalanobis_mondrian,mean_width,2.760171413421631,2.7648558497428892,0.004684436321258367,-0.06849542424082762,0.1034346907337507,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,mahalanobis_mondrian,mean_interval_score,3.2436138888200126,3.244972018400828,0.0013581295808156035,-0.08117448081572845,0.11123739878336546,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,predicted_mos_mondrian,coverage,0.8708333333333333,0.8833333333333333,0.012499999999999956,-0.03333333333333344,0.054166666666666696,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,predicted_mos_mondrian,mean_width,2.760171413421631,2.7949451466401416,0.03477373321851074,-0.05762969821691498,0.10674783676862691,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,predicted_mos_mondrian,mean_interval_score,3.2436138888200126,3.210601047674815,-0.03301284114519776,-0.09497535874446236,0.13371190883219203,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,mos_extremity_mondrian,coverage,0.8708333333333333,0.8666666666666667,-0.004166666666666652,-0.04166666666666663,0.03749999999999998,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,mos_extremity_mondrian,mean_width,2.760171413421631,2.785622642437617,0.025451229015986065,-0.06725111315647761,0.12224366471171377,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,mos_extremity_mondrian,mean_interval_score,3.2436138888200126,3.233181462685267,-0.010432426134745487,-0.08729722330967617,0.12485654632250463,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k10,coverage,0.8708333333333333,0.8666666666666667,-0.004166666666666652,-0.033333333333333326,0.04166666666666663,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k10,mean_width,2.760171413421631,2.777732793490092,0.017561380068461308,-0.05920419255892453,0.11892551091810041,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k10,mean_interval_score,3.2436138888200126,3.2541237910588583,0.010509902238845736,-0.06385008096694929,0.1646348745375871,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k25,coverage,0.8708333333333333,0.8916666666666667,0.02083333333333337,-0.04166666666666663,0.04583333333333339,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k25,mean_width,2.760171413421631,2.7825824201107023,0.022411006689071478,-0.08647531400124217,0.1204826640586059,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k25,mean_interval_score,3.2436138888200126,3.243563203016917,-5.068580309552928e-05,-0.09344490227599941,0.18940635298689218,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k50,coverage,0.8708333333333333,0.8708333333333333,0.0,-0.03750000000000009,0.03749999999999998,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k50,mean_width,2.760171413421631,2.7814218084017437,0.02125039498011283,-0.0814566081265607,0.09972501933574672,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_mondrian_k50,mean_interval_score,3.2436138888200126,3.2571495354175566,0.013535646597544027,-0.07090659807125742,0.19652610162893894,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k10,coverage,0.8708333333333333,0.8958333333333334,0.025000000000000022,-0.033333333333333326,0.08333333333333326,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k10,mean_width,2.760171413421631,2.9303299421951654,0.17015852877353455,0.0012777294119050734,0.31974712057582944,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k10,mean_interval_score,3.2436138888200126,3.416323236283075,0.17270934746306255,-0.0652495176799385,0.39554389893538,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k25,coverage,0.8708333333333333,0.8666666666666667,-0.004166666666666652,-0.04583333333333339,0.04583333333333339,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k25,mean_width,2.760171413421631,2.756101514510234,-0.004069898911396752,-0.12106228349207923,0.11152718255791437,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k25,mean_interval_score,3.2436138888200126,3.3121888991013955,0.06857501028138291,-0.0710865395521776,0.20892082177025711,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k50,coverage,0.8708333333333333,0.8708333333333333,0.0,-0.04166666666666663,0.03749999999999998,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k50,mean_width,2.760171413421631,2.77141429999105,0.011242886569418964,-0.09116787930461828,0.09900245161328541,2000,fixed_difficulty_estimator
dnsmos,nisqa_test_p501,local_residual_normalized_k50,mean_interval_score,3.2436138888200126,3.3345952089059088,0.09098132008589621,0.0016846765017586754,0.19426803496384598,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,mahalanobis_mondrian,coverage,0.896,0.8992,0.0031999999999999806,-0.021599999999999953,0.027200000000000002,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,mahalanobis_mondrian,mean_width,2.91591215133667,2.856833064842224,-0.05907908649444593,-0.24367514538288104,0.09324732907295204,2000,fixed_difficulty_estimator
nisqa,nisqa_val_sim,mahalanobis_mondrian,mean_interval_score,3.551801847457886,3.5045662019729615,-0.047235645484924316,-0.11240165398597717,0.06204827869415271,2000,fixed_difficulty_estimator
