model,score,calibration_fraction,seed,dataset,calibration_n,evaluation_n,fixed_coverage,fixed_width,fixed_interval_score,adaptive_coverage,adaptive_width,adaptive_interval_score,delta_coverage,delta_width,delta_interval_score
dnsmos,mahalanobis,0.3,20270003,nisqa_val_sim,750,1750,0.8994285714285715,2.735581874847412,3.1784941945757184,0.896,2.717048628943307,3.1762886145455496,-0.0034285714285714475,-0.01853324590410521,-0.0022055800301687967
dnsmos,mahalanobis,0.3,20270003,nisqa_train_live,750,1020,0.9901960784313726,2.735581874847412,2.762599054504843,0.9872549019607844,2.650930308828167,2.684434131080029,-0.002941176470588225,-0.08465156601924528,-0.07816492342481407
dnsmos,mahalanobis,0.3,20270003,nisqa_val_live,750,200,1.0,2.735581874847412,2.735581874847412,0.995,2.659055709838867,2.6602033734321595,-0.0050000000000000044,-0.07652616500854492,-0.0753785014152526
dnsmos,mahalanobis,0.3,20270003,nisqa_test_for,750,240,0.9,2.735581874847412,3.2149482369422913,0.8791666666666667,2.6837653358777365,3.1626514832178754,-0.02083333333333337,-0.05181653896967564,-0.05229675372441589
dnsmos,mahalanobis,0.3,20270003,nisqa_test_livetalk,750,232,0.9439655172413793,2.735581874847412,3.0222183301531036,0.9396551724137931,2.6436259191611717,2.9779726349074265,-0.004310344827586188,-0.09195595568624038,-0.04424569524567712
dnsmos,mahalanobis,0.3,20270003,nisqa_test_p501,750,240,0.8583333333333333,2.735581874847412,3.2533377508322396,0.8625,2.7150984625021617,3.243229381243388,0.004166666666666763,-0.020483412345250418,-0.010108369588851751
dnsmos,l2,0.3,20270003,nisqa_val_sim,750,1750,0.8994285714285715,2.735581874847412,3.1784941945757184,0.8851428571428571,2.6915665860857283,3.1965364745003835,-0.014285714285714346,-0.04401528876168381,0.018042279924665117
dnsmos,l2,0.3,20270003,nisqa_train_live,750,1020,0.9901960784313726,2.735581874847412,2.762599054504843,0.9833333333333333,2.605166468433305,2.6577144304911298,-0.006862745098039302,-0.13041540641410698,-0.10488462401371335
dnsmos,l2,0.3,20270003,nisqa_val_live,750,200,1.0,2.735581874847412,2.735581874847412,0.995,2.632485280036926,2.6402507281303405,-0.0050000000000000044,-0.10309659481048605,-0.09533114671707166
dnsmos,l2,0.3,20270003,nisqa_test_for,750,240,0.9,2.735581874847412,3.2149482369422913,0.9041666666666667,2.7030215561389923,3.1322557230790458,0.004166666666666652,-0.0325603187084198,-0.0826925138632455
dnsmos,l2,0.3,20270003,nisqa_test_livetalk,750,232,0.9439655172413793,2.735581874847412,3.0222183301531036,0.9353448275862069,2.636295589907416,3.00011061594404,-0.008620689655172487,-0.09928628493999625,-0.022107714209063545
dnsmos,l2,0.3,20270003,nisqa_test_p501,750,240,0.8583333333333333,2.735581874847412,3.2533377508322396,0.8625,2.6860705812772117,3.2277425825595856,0.004166666666666763,-0.049511293570200454,-0.025595168272654067
dnsmos,knn,0.3,20270003,nisqa_val_sim,750,1750,0.8994285714285715,2.735581874847412,3.1784941945757184,0.8937142857142857,2.70504767036438,3.184831080027989,-0.005714285714285783,-0.030534204483032124,0.006336885452270735
dnsmos,knn,0.3,20270003,nisqa_train_live,750,1020,0.9901960784313726,2.735581874847412,2.762599054504843,0.9784313725490196,2.544623307620778,2.6068290079341216,-0.01176470588235301,-0.1909585672266343,-0.15577004657072147
dnsmos,knn,0.3,20270003,nisqa_val_live,750,200,1.0,2.735581874847412,2.735581874847412,0.995,2.554716560840607,2.563886771202087,-0.0050000000000000044,-0.18086531400680528,-0.17169510364532492
dnsmos,knn,0.3,20270003,nisqa_test_for,750,240,0.9,2.735581874847412,3.2149482369422913,0.8791666666666667,2.6314768393834433,3.1920220255851746,-0.02083333333333337,-0.10410503546396876,-0.0229262113571167
dnsmos,knn,0.3,20270003,nisqa_test_livetalk,750,232,0.9439655172413793,2.735581874847412,3.0222183301531036,0.9181034482758621,2.566994681440551,2.959210025853124,-0.025862068965517238,-0.16858719340686124,-0.06300830429997939
