model,score,dataset,n_bins,metric,fixed,adaptive,adaptive_minus_fixed,ci_lo,ci_hi,n_boot
utmos,mahalanobis,nisqa_test_for,5,interval_score,2.639484296242396,2.6799927592277526,0.04050846298535671,-0.02758862351377802,0.16209781882663518,2000
utmos,mahalanobis,nisqa_test_livetalk,5,coverage,0.6637931034482759,0.6767241379310345,0.012931034482758563,-0.025862068965517238,0.07758620689655171,2000
utmos,mahalanobis,nisqa_test_livetalk,5,width,2.2644686698913574,2.3091679153771234,0.04469924548576598,-0.05881103855268688,0.15530225187540064,2000
utmos,mahalanobis,nisqa_test_livetalk,5,interval_score,4.503284384464395,4.426581927414598,-0.07670245704979717,-0.2394089701360667,0.27040258373679743,2000
utmos,mahalanobis,nisqa_test_p501,5,coverage,0.9208333333333333,0.9125,-0.008333333333333304,-0.033333333333333326,0.02083333333333337,2000
utmos,mahalanobis,nisqa_test_p501,5,width,2.2644686698913574,2.32076766093572,0.056298991044362534,-0.03286321359376104,0.15646733825405434,2000
utmos,mahalanobis,nisqa_test_p501,5,interval_score,2.562443067630132,2.6181697944800058,0.055726726849873565,-0.021779655118783492,0.19554917844633224,2000
utmos,l2,nisqa_val_sim,5,coverage,0.9176,0.9088,-0.008799999999999919,-0.03042000000000009,0.007199999999999984,2000
utmos,l2,nisqa_val_sim,5,width,2.2644686698913574,2.2339443515777586,-0.03052431831359881,-0.12367362876892068,0.03811078738689431,2000
utmos,l2,nisqa_val_sim,5,interval_score,2.7757657318115236,2.724884224319458,-0.05088150749206566,-0.09920416045188936,0.028700344314574723,2000
utmos,l2,nisqa_train_live,5,coverage,0.8127450980392157,0.7637254901960784,-0.0490196078431373,-0.08763948417409129,-0.009803441924715061,2000
utmos,l2,nisqa_train_live,5,width,2.2644686698913574,2.0136806221569286,-0.25078804773442886,-0.3532838577824943,-0.11283358853057951,2000
utmos,l2,nisqa_train_live,5,interval_score,3.336802218474594,3.631616267970964,0.2948140494963698,0.03399917990654049,0.5180007967102916,2000
